ID,Category,Question
1,Basic Features,Does this have sleep mode?
2,Battery & Charging,Is this compatible with older iPhones?
3,Display & Performance,Does iPhone 16 support dual SIM?
4,Camera,Is the iPhone 16 waterproof?
5,Software & Security,Does the iPhone 16 have a headphone jack?
6,Storage & Connectivity,What is the battery life of the iPhone 16?
7,Basic Features,Does the iPhone 16 support fast charging?
8,Battery & Charging,Can I use a 30W charger for iPhone 16?
9,Display & Performance,Does iPhone 16 support wireless charging?
10,Camera,How long does it take to fully charge iPhone 16?
11,Software & Security,What is the screen size of iPhone 16?
12,Storage & Connectivity,Does iPhone 16 have a 120Hz refresh rate?
13,Basic Features,What processor does the iPhone 16 use?
14,Battery & Charging,Is there an Always-On display feature?
15,Display & Performance,Does iPhone 16 support gaming at 120 FPS?
16,Camera,How many cameras does iPhone 16 have?
17,Software & Security,Does iPhone 16 support 8K video recording?
18,Storage & Connectivity,Is there a night mode for selfies?
19,Basic Features,What is the megapixel count of the iPhone 16 camera?
20,Battery & Charging,Can I shoot RAW photos on iPhone 16?
21,Display & Performance,Does iPhone 16 support Face ID?
22,Camera,Will iPhone 16 get future iOS updates?
23,Software & Security,Can I use Touch ID on iPhone 16?
24,Storage & Connectivity,Does iPhone 16 have AI-driven photo editing?
25,Basic Features,Can I unlock my iPhone 16 while wearing a mask?
26,Battery & Charging,What storage options are available for iPhone 16?
27,Display & Performance,Does iPhone 16 support 5G networks?
28,Camera,Can I expand storage with an SD card?
29,Software & Security,Does iPhone 16 have a USB-C port?
30,Storage & Connectivity,Does it support WiFi 6E or WiFi 7?
31,Basic Features,Does this have sleep mode?
32,Battery & Charging,Is this compatible with older iPhones?
33,Display & Performance,Does iPhone 16 support dual SIM?
34,Camera,Is the iPhone 16 waterproof?
35,Software & Security,Does the iPhone 16 have a headphone jack?
36,Storage & Connectivity,What is the battery life of the iPhone 16?
37,Basic Features,Does the iPhone 16 support fast charging?
38,Battery & Charging,Can I use a 30W charger for iPhone 16?
39,Display & Performance,Does iPhone 16 support wireless charging?
40,Camera,How long does it take to fully charge iPhone 16?
41,Software & Security,What is the screen size of iPhone 16?
42,Storage & Connectivity,Does iPhone 16 have a 120Hz refresh rate?
43,Basic Features,What processor does the iPhone 16 use?
44,Battery & Charging,Is there an Always-On display feature?
45,Display & Performance,Does iPhone 16 support gaming at 120 FPS?
46,Camera,How many cameras does iPhone 16 have?
47,Software & Security,Does iPhone 16 support 8K video recording?
48,Storage & Connectivity,Is there a night mode for selfies?
49,Basic Features,What is the megapixel count of the iPhone 16 camera?
50,Battery & Charging,Can I shoot RAW photos on iPhone 16?
51,Display & Performance,Does iPhone 16 support Face ID?
52,Camera,Will iPhone 16 get future iOS updates?
53,Software & Security,Can I use Touch ID on iPhone 16?
54,Storage & Connectivity,Does iPhone 16 have AI-driven photo editing?
55,Basic Features,Can I unlock my iPhone 16 while wearing a mask?
56,Battery & Charging,What storage options are available for iPhone 16?
57,Display & Performance,Does iPhone 16 support 5G networks?
58,Camera,Can I expand storage with an SD card?
59,Software & Security,Does iPhone 16 have a USB-C port?
60,Storage & Connectivity,Does it support WiFi 6E or WiFi 7?
61,Basic Features,Does this have sleep mode?
62,Battery & Charging,Is this compatible with older iPhones?
63,Display & Performance,Does iPhone 16 support dual SIM?
